ra,dec,pmra,pmdec,CMC15[dm|r|ra|dec|t],Pan-STARRS DR1[dm|r|ra|dec|t],2MASS All-Sky[dm|r|ra|dec|t],SDSS DR12[dm|r|ra|dec|t],URAT1[dm|r|ra|dec|t],UCAC4[dm|r|ra|dec|t]
283.0245100405172,-4.92271400609634,-19.20046730912692,3.374756646308558,2.58|24.841|283.03144|-4.922892|2003.5,0.02|1.548|283.02456017|-4.92228026|2012.2,4.2|18.49|283.021795|-4.918346|1999.3,,nan|2.51|283.0238483|-4.9225006|2013.5,nan|6.911|283.0263636|-4.9232545|1996.1
249.55446175837352,-44.3460478451556,233.20398695168288,68.56315723755691,,,4.25|22.893|249.554069|-44.339691|1999.4,,,5.31|8.851|249.5576956|-44.3451887|1997.1
250.36551692304482,-43.98855046191316,-376.23742261348167,-485.0359891738395,,,1.06|23.589|250.366358|-43.982021|1999.4,,,1.72|7.977|250.3678359|-43.9870795|1970.3
267.39883491588057,-38.089169335097715,-30.96879911017228,-5.0388200931765015,2.58|20.287|267.404991|-38.092053|2007.6,,3.35|21.607|267.40569|-38.086521|2000.6,,,nan|11.651|267.3971036|-38.0862314|1991.4
295.439639842937,20.32814565128005,-15.068650086328715,-15.956334286089945,3.73|18.983|295.439518|20.32288|2001.5,0.1|7.963|295.44161137|20.32937509|2012.4,4.45|25.847|295.435414|20.334135|1997.5,,nan|4.991|295.4388903|20.3293431|2013.6,
295.5300424726575,20.501219532594238,-8.36401348180045,4.772214329331318,3.15|17.466|295.533965|20.504401|2001.5,0.01|15.384|295.52760382|20.49761765|2011.7,4.53|23.464|295.533563|20.4956|1997.5,,nan|5.969|295.5308867|20.499765|2013.6,
295.0501911592765,20.370875131726137,-8.167842738841408,-6.507447318268494,2.74|20.737|295.045234|20.374277|2001.5,0.16|12.019|295.04939757|20.37413449|2012.3,3.74|12.25|295.04943|20.374207|1997.5,,nan|3.465|295.0498531|20.3717878|2013.5,nan|9.58|295.0485636|20.368705|2001.4
295.4924806031996,20.40125311232585,-0.8397733837765992,-3.8151464478847092,3.4|17.003|295.497054|20.399263|2001.5,0.08|14.54|295.49146082|20.39733663|2011.4,4.39|14.014|295.49154|20.397469|1997.5,,nan|2.508|295.4925667|20.4019519|2013.6,nan|27.741|295.4993495|20.4055028|2000.0
295.2642414917824,20.496822524691414,-8.291500417653644,-5.774388377429777,2.61|14.113|295.260553|20.49867|2001.5,0.11|7.023|295.26293049|20.49531754|2011.8,3.89|0.435|295.264376|20.496815|1997.5,,nan|3.636|295.2633964|20.4974481|2012.5,
295.40318970801684,20.4626730510033,-10.52428148572834,-18.601159539807465,3.3|25.609|295.405507|20.455903|2001.5,0.1|9.59|295.40248167|20.46525764|2012.0,4.25|13.208|295.404121|20.459114|1997.5,,nan|6.373|295.4045644|20.4614583|2013.8,nan|27.457|295.3950559|20.4627545|1995.9
295.0942858340616,20.470549728204368,3.751602187636148,-42.05677967908567,2.55|17.507|295.091403|20.474596|2001.5,0.04|26.014|295.09377333|20.47776542|2011.8,3.79|20.982|295.096978|20.475813|1997.5,,nan|5.852|295.0941693|20.4689342|2013.5,nan|17.15|295.0911756|20.4667917|1992.8
295.03150056069734,20.46026261359189,2.561979331440919,-25.471271719233656,3.4|14.024|295.028106|20.46251|2001.5,0.05|16.15|295.03187916|20.46474123|2011.6,4.34|23.899|295.038554|20.46096|1997.5,,nan|2.215|295.0309808|20.4599003|2013.7,nan|13.385|295.0342553|20.4629506|2000.8
296.0159353613103,20.326280599109488,-2.9850367487080827,-0.7173042087116012,2.97|29.205|296.012918|20.318686|2001.5,0.12|28.207|296.01785643|20.31865978|2011.2,3.75|26.988|296.011659|20.332617|2000.3,,nan|4.087|296.0170922|20.32664|2013.6,nan|12.794|296.0197286|20.3261467|2001.6
296.1535253306331,20.273435089213365,-7.431077603138814,2.0763161820815705,3.41|25.833|296.15354|20.280617|2001.5,0.13|11.852|296.15559857|20.27610209|2011.8,3.95|14.693|296.152063|20.277283|2000.3,,nan|11.843|296.1556089|20.2760917|2013.8,nan|26.653|296.1460124|20.2711917|2001.6
295.42382856743365,20.42434933129462,-7.388736329203857,10.637201883376553,1.76|23.435|295.422775|20.430789|2001.5,0.03|3.305|295.4228757|20.42416924|2011.8,2.9|27.866|295.429947|20.429562|1997.5,,2.55|19.995|295.4204636|20.4289233|2013.7,nan|13.569|295.4215562|20.4212495|1997.3
295.42228779366457,20.484214084898163,-7.444272650278981,-10.692979824116694,3.32|26.022|295.429396|20.481394|2001.5,0.03|27.719|295.42344805|20.47659668|2011.9,4.17|15.263|295.420294|20.480417|1997.5,,nan|3.479|295.4222733|20.4832539|2013.5,nan|8.091|295.4214165|20.486312|2000.1
295.26716766534145,20.612131664190162,0.7398575153675867,-4.175489212096946,,0.08|26.003|295.26882295|20.61919409|2011.8,4.36|18.29|295.261761|20.611759|1997.5,,nan|6.594|295.2679048|20.6138369|2013.5,
296.0290159343935,20.348499112981557,-19.48567227555504,-8.859513389309837,2.64|28.477|296.037041|20.350965|2001.5,0.09|4.304|296.02927998|20.3496761|2011.8,3.72|18.466|296.029469|20.343393|2000.3,,nan|4.22|296.027788|20.3486908|2013.4,nan|29.19|296.0369665|20.3453014|1998.3
295.9078258719305,20.285691107267766,-13.68932916390532,-8.455141318536867,3.95|28.696|295.901642|20.280236|2001.5,0.36|27.474|295.91461706|20.28990967|2011.8,4.3|12.333|295.910256|20.28826|2000.3,,nan|6.385|295.9078847|20.2839242|2013.7,
